cluster	Exp
EOG71PB5Q	7.973727691
EOG71PB5R	96.35925399
EOG71PB5S	707.1726562
EOG71PB5T	35.00242939
EOG71PB5W	73.52707911
EOG71PB5X	288.7993518
EOG71PB5Z	10.0278489
EOG71PB60	1065.052475
EOG71PB61	146.2532922
EOG71PB64	0.778775202
EOG71S6CP	25.47977893
EOG71S6CQ	0.792605421
EOG71S6CR	22.44286713
EOG71S6CS	30.41899924
EOG71S6CT	69.71388586
EOG71S6CV	108.0278627
EOG71S6CW	29.78604087
EOG71S6CZ	58.88363552
EOG71S6D0	14.30682916
EOG71S6D1	44.42938533
EOG71S6D2	24.90874344
EOG71S6D3	26.22976023
EOG71S6D4	60.8593511
EOG71S6D5	8.589036548
EOG71S6D7	47.52970526
EOG71S6D8	113.6069821
EOG71S6D9	323.5019892
EOG71S6DB	52.29967252
EOG71S6DC	59.61928805
EOG71S6DD	53.14918546
EOG71S6DF	43.93049645
EOG71S6DG	130.1790467
EOG71S6DH	418.9886087
EOG71S6DJ	3.503001569
EOG71S6DK	65.06300374
EOG71S6DM	160.3134874
EOG71S6DN	51.74913381
EOG71S6DP	110.741072
EOG71S6DQ	267.0039417
EOG71S6DR	7.052950644
EOG71S6DS	19.33178163
EOG71S6DT	268.6432758
EOG71S6F0	0.659332777
EOG71S6F1	468.2832345
EOG71W2MQ	2.553251561
EOG71W2MR	17.84323188
EOG71W2MS	2.809290165
EOG71W2MT	72.93151953
EOG71W2MV	203.6609604
EOG71W2MW	8.034496724
EOG71W2MX	17.85206508
EOG71W2MZ	20.61826466
EOG71W2N0	128.2300052
EOG71W2N1	4.661135118
EOG71W2N2	179.9725789
EOG71W2N3	4.40351993
EOG71W2N4	48.61337652
EOG71W2N5	3.444521633
EOG71W2N6	118.9969529
EOG71W2N7	619.2804281
EOG71W2N8	111.0376145
EOG71W2N9	123.1702621
EOG71W2NB	23.47518716
EOG71W2NC	29.91289232
EOG71W2ND	59.44239664
EOG71W2NF	114.6515261
EOG71W2NG	211.8116186
EOG71W2NH	52.10590051
EOG71W2NJ	793.6598513
EOG71W2NK	0.945714672
EOG71W2NM	87.72852327
EOG71W2NN	186.69552
EOG71W2NQ	0.829120761
EOG71W2NR	207.2458221
EOG71W2NS	1.215754292
EOG71W2NZ	6.584802109
EOG71W2P0	1.153835216
EOG71W2P1	28.56012877
EOG71ZXVQ	32.58857734
EOG71ZXVR	16.31593504
EOG71ZXVS	94.09258023
EOG71ZXVT	28.25473588
EOG71ZXVV	55.57444422
EOG71ZXVW	159.0049738
EOG71ZXVX	68.16207228
EOG71ZXVZ	162.5804248
EOG71ZXW0	55.69814508
EOG71ZXW2	18.93284639
EOG71ZXW3	15.54175258
EOG71ZXW4	166.1672075
EOG71ZXW5	136.3817236
EOG71ZXW6	59.06857086
EOG71ZXW7	75.91969655
EOG71ZXW8	79.6385756
EOG71ZXW9	157.825001
EOG71ZXWB	43.44092464
EOG71ZXWC	72.68839697
EOG71ZXWD	6.958791094
EOG71ZXWG	82.87241152
EOG71ZXWH	25.75915588
EOG71ZXWJ	158.0296063
EOG71ZXWK	74.36641261
EOG71ZXWM	321.9366442
EOG71ZXWN	2.114160831
EOG71ZXWP	30.71038896
EOG71ZXWQ	408.0892788
EOG71ZXWR	11.82514781
EOG71ZXWS	107.1226415
EOG71ZXWV	2.175708962
EOG71ZXWW	0.7138696
EOG71ZXWX	1.507594827
EOG722T3H	1.580176547
EOG722T3J	58.30353074
EOG722T3K	174.1569755
EOG722T3M	90.66839948
EOG722T3N	12.63070213
EOG722T3P	19.38141094
EOG722T3Q	45.25770822
EOG722T3R	41.35944635
EOG722T3S	41.61180044
EOG722T3T	33.80631705
EOG722T3V	24.58768233
EOG722T3X	428.2551073
EOG722T3Z	75.4986939
EOG722T40	126.4479147
EOG722T41	110.9704945
EOG722T43	96.51458554
EOG722T44	67.18854103
EOG722T45	39.34125168
EOG722T46	61.63084658
EOG722T47	42.15857296
EOG722T48	104.0884947
EOG722T4B	161.828166
EOG722T4C	62.31640701
EOG722T4D	93.05912365
EOG722T4G	5.382144896
EOG722T4H	3721.168921
EOG722T4J	187.3646666
EOG722T4K	3.198947811
EOG722T4N	0.34219719
EOG722T4P	101.9719953
EOG722T4Q	7.236904896
EOG722T4R	0.8684162
EOG722T4V	1.159176577
EOG725PBG	18.11607611
EOG725PBH	9.565840539
EOG725PBJ	119.017998
EOG725PBK	392.8765081
EOG725PBM	64.25938485
EOG725PBN	160.7132149
EOG725PBP	126.3702276
EOG725PBQ	46.70443161
EOG725PBS	2.33028757
EOG725PBT	183.3585594
EOG725PBV	96.92848507
EOG725PBW	11.72052337
EOG725PBX	94.20113345
EOG725PBZ	98.96903715
EOG725PC0	7.75599684
EOG725PC2	7.383461977
EOG725PC3	11.75581644
EOG725PC4	306.3851942
EOG725PC5	135.9408685
EOG725PC6	29.24103585
EOG725PC7	166.2802589
EOG725PC8	13.77745297
EOG725PC9	8.655616388
EOG725PCB	9.741793913
