cluster	kTotal	kWithin	kOut	kDiff
EOG70KRHX	26.52945367	4.272222837	22.25723083	-17.98500799
EOG70KRHZ	20.30721132	6.560863477	13.74634784	-7.185484361
EOG70KRJ0	71.91506007	29.2413525	42.67370757	-13.43235506
EOG70KRJ1	27.83087697	5.965606799	21.86527018	-15.89966338
EOG70KRJ3	35.41858546	12.19963337	23.21895209	-11.01931872
EOG70KRJ5	51.39158476	8.873110134	42.51847462	-33.64536449
EOG70KRJ6	30.79878166	9.936465214	20.86231645	-10.92585123
EOG70KRJ9	4.688753861	0.981074289	3.707679573	-2.726605284
EOG70KRJC	23.11602428	3.522900485	19.5931238	-16.07022332
EOG70KRJD	29.90602227	4.456208871	25.4498134	-20.99360453
EOG70KRJF	30.2407369	8.533406668	21.70733023	-13.17392356
EOG70KRJG	45.34405129	10.8012761	34.54277519	-23.74149909
EOG70KRJM	103.6070501	20.44554725	83.16150289	-62.71595564
EOG70KRJP	72.89224927	47.06172254	25.83052673	21.23119581
EOG70KRJQ	26.27020145	5.553592323	20.71660912	-15.1630168
EOG70KRJR	16.52737342	4.479315383	12.04805804	-7.568742659
EOG70KRJT	39.44123903	3.824556245	35.61668279	-31.79212654
EOG70KRJV	65.52539797	11.71883609	53.80656189	-42.0877258
EOG70KRJZ	39.79162873	9.172500205	30.61912852	-21.44662832
EOG70PMRJ	35.20899607	15.26416764	19.94482843	-4.680660783
EOG70PMRK	29.73380975	20.29649554	9.437314213	10.85918133
EOG70PMRM	11.86362907	4.614845819	7.248783249	-2.63393743
EOG70PMRN	60.16612883	25.69175652	34.47437231	-8.782615795
EOG70PMRR	40.36178587	5.144835894	35.21694997	-30.07211408
EOG70PMRS	35.14962589	20.22909171	14.92053418	5.308557531
EOG70PMRX	8.619625311	1.490911471	7.128713841	-5.63780237
EOG70PMRZ	15.8090457	8.123193971	7.685851733	0.437342237
EOG70PMS1	21.38252619	5.386772338	15.99575385	-10.60898152
EOG70PMS2	42.5570271	5.60456689	36.95246021	-31.34789332
EOG70PMS4	6.356265991	1.489822689	4.866443301	-3.376620612
EOG70PMS5	22.58473841	5.535281687	17.04945672	-11.51417504
EOG70PMS6	82.48151701	18.75764329	63.72387372	-44.96623043
EOG70PMS8	76.00177279	18.23446183	57.76731096	-39.53284913
EOG70PMSB	25.88500475	5.805896984	20.07910776	-14.27321078
EOG70PMSC	26.28799784	9.149765198	17.13823264	-7.988467441
EOG70PMSD	13.63721414	3.585827274	10.05138686	-6.465559591
EOG70PMSF	46.7275488	30.50672591	16.22082289	14.28590302
EOG70PMSH	21.38864232	4.030002316	17.35864	-13.32863769
EOG70PMSN	18.02439713	6.608452201	11.41594493	-4.807492731
EOG70PMSP	39.09630601	4.743488423	34.35281758	-29.60932916
EOG70PMSR	54.96455005	23.01379253	31.95075751	-8.936964982
EOG70SH0F	52.79557004	21.92445239	30.87111765	-8.946665255
EOG70SH0G	51.64310501	37.7215216	13.92158341	23.79993819
EOG70SH0H	28.28835381	20.32520774	7.963146071	12.36206167
EOG70SH0J	41.24373169	18.38022999	22.8635017	-4.483271712
EOG70SH0K	50.70734964	30.18215279	20.52519685	9.656955935
EOG70SH0M	33.43857684	5.122123406	28.31645343	-23.19433003
EOG70SH0N	3.923708513	0.761666315	3.162042199	-2.400375884
EOG70SH0P	47.51302586	8.607380408	38.90564545	-30.29826505
EOG70SH0Q	45.00451992	15.23482834	29.76969158	-14.53486323
EOG70SH0R	63.06189443	32.44060999	30.62128444	1.819325547
EOG70SH0S	42.01831677	10.24008431	31.77823246	-21.53814815
EOG70SH0V	29.48082537	7.408982966	22.0718424	-14.66285944
EOG70SH0W	23.79177502	11.25136062	12.5404144	-1.289053775
EOG70SH0X	67.34528496	42.19822651	25.14705845	17.05116806
EOG70SH0Z	16.17563214	4.455031487	11.72060065	-7.265569164
EOG70SH10	66.48944932	25.33274232	41.156707	-15.82396468
EOG70SH12	88.66299928	17.09204209	71.57095719	-54.47891511
EOG70SH13	19.03677338	3.847703436	15.18906994	-11.34136651
EOG70SH15	150.5117602	57.60013923	92.911621	-35.31148176
EOG70SH16	26.99304385	5.971348512	21.02169534	-15.05034683
EOG70SH17	87.04507372	48.92515836	38.11991536	10.805243
EOG70SH18	63.3927091	41.42177363	21.97093547	19.45083816
EOG70SH19	37.30412446	9.884553567	27.4195709	-17.53501733
EOG70SH1F	61.41816732	35.74370317	25.67446415	10.06923902
EOG70SH1G	110.006347	63.15977314	46.84657388	16.31319925
EOG70SH1J	93.82190537	58.79335504	35.02855033	23.7648047
EOG70SH1M	12.19041725	3.524044977	8.666372269	-5.142327291
EOG70SH1P	84.31313764	21.61904344	62.6940942	-41.07505077
EOG70SH1S	33.89866762	6.62092277	27.27774485	-20.65682209
EOG70WC7C	9.507903491	1.51151948	7.996384011	-6.484864531
EOG70WC7D	39.46261706	26.73081072	12.73180634	13.99900438
EOG70WC7F	27.27549559	6.302923317	20.97257227	-14.66964896
EOG70WC7G	41.06740071	5.1112551	35.95614561	-30.84489051
EOG70WC7H	31.6433571	8.395485333	23.24787177	-14.85238644
EOG70WC7K	43.08467217	6.878290492	36.20638168	-29.32809119
EOG70WC7M	119.4491162	25.41621548	94.03290071	-68.61668523
EOG70WC7N	29.25504933	7.937542756	21.31750657	-13.37996381
EOG70WC7P	77.21707162	49.48600258	27.73106904	21.75493354
EOG70WC7Q	29.03887498	6.111703232	22.92717175	-16.81546852
EOG70WC7R	42.24367547	18.33868473	23.90499074	-5.566306009
EOG70WC7T	49.86358063	15.45760386	34.40597677	-18.94837291
EOG70WC7V	35.83346917	13.23480694	22.59866223	-9.363855286
EOG70WC7W	19.2989224	3.73476832	15.56415408	-11.82938576
EOG70WC80	10.22049073	2.204043966	8.016446759	-5.812402793
EOG70WC81	21.14287289	4.827178173	16.31569472	-11.48851654
EOG70WC82	25.82278911	5.265587119	20.55720199	-15.29161487
EOG70WC84	100.6944031	35.12353795	65.57086515	-30.4473272
EOG70WC85	166.5357529	83.44901397	83.0867389	0.362275068
EOG70WC86	21.77565739	12.53418987	9.241467514	3.292722358
EOG70WC87	25.95222785	5.126022171	20.82620568	-15.70018351
EOG70WC88	27.28471967	13.5013089	13.78341077	-0.282101875
EOG70WC8D	6.872374921	1.464579539	5.407795383	-3.943215844
EOG70WC8H	16.57958566	3.874723154	12.70486251	-8.830139355
EOG7107GD	21.34281823	8.779248572	12.56356966	-3.784321084
EOG7107GF	17.34044173	4.384013148	12.95642858	-8.572415435
EOG7107GG	61.2186515	8.990134107	52.2285174	-43.23838329
EOG7107GH	34.66567366	23.70480267	10.96087099	12.74393168
EOG7107GJ	76.39763813	61.47310266	14.92453547	46.54856719
EOG7107GK	26.30681524	7.199602252	19.10721299	-11.90761074
EOG7107GP	34.60175602	8.922411658	25.67934436	-16.7569327
EOG7107GQ	59.35704851	13.70916991	45.64787861	-31.9387087
EOG7107GR	48.56758587	9.901499629	38.66608624	-28.76458661
EOG7107GS	18.05249563	6.159976098	11.89251953	-5.732543435
EOG7107GT	24.93270467	6.59250441	18.34020026	-11.74769585
EOG7107GV	12.16477269	3.366982991	8.797789702	-5.430806711
EOG7107GX	18.30854691	5.77797666	12.53057025	-6.752593589
EOG7107GZ	37.06947958	14.63283627	22.43664331	-7.803807031
EOG7107H0	35.28775542	4.408699784	30.87905563	-26.47035585
EOG7107H1	37.65263616	22.92636578	14.72627038	8.200095394
EOG7107H2	49.78911677	8.374592178	41.41452459	-33.03993241
EOG7107H3	40.29829637	15.48259558	24.81570079	-9.333105205
EOG7107H4	9.250683471	4.117769484	5.132913987	-1.015144503
EOG7107H5	19.93507067	4.017217461	15.91785321	-11.90063574
EOG7107H7	30.80061259	7.69614116	23.10447143	-15.40833027
EOG7107H8	126.3000768	18.28890218	108.0111746	-89.72227246
EOG7107H9	67.89560064	11.88960335	56.0059973	-44.11639395
EOG7107HC	22.87424845	8.440898684	14.43334977	-5.992451087
EOG7107HD	23.11734297	5.455022752	17.66232022	-12.20729747
EOG7107HF	75.45466313	41.74914157	33.70552156	8.043620009
EOG7107HG	23.7509877	3.434351415	20.31663628	-16.88228487
EOG7133Q8	59.53384123	44.72346738	14.81037385	29.91309353
EOG7133Q9	33.54243377	10.28277136	23.2596624	-12.97689104
EOG7133QB	33.68574773	10.30331488	23.38243285	-13.07911797
EOG7133QC	36.39720948	10.61314134	25.78406814	-15.1709268
EOG7133QD	51.24472117	35.99848659	15.24623458	20.752252
EOG7133QF	18.1839665	6.651232127	11.53273437	-4.881502244
EOG7133QG	47.52413831	17.17168359	30.35245472	-13.18077112
EOG7133QJ	45.2900638	7.222879865	38.06718394	-30.84430407
EOG7133QK	66.83544542	4.719003489	62.11644193	-57.39743844
EOG7133QM	55.95952842	21.02812373	34.93140469	-13.90328096
EOG7133QN	12.85370433	2.921728248	9.931976085	-7.010247837
EOG7133QP	17.32559451	4.935894485	12.38970002	-7.453805535
EOG7133QQ	8.987451479	1.705460577	7.281990902	-5.576530325
EOG7133QR	19.12684644	4.122288894	15.00455755	-10.88226866
EOG7133QT	11.72739673	4.427992126	7.299404606	-2.87141248
EOG7133QZ	32.5943504	7.566160991	25.02818941	-17.46202842
EOG7133R1	33.11915658	10.36533784	22.75381874	-12.3884809
EOG7133R3	34.51596889	21.62273473	12.89323416	8.729500567
EOG7133R6	22.55681431	6.020706139	16.53610817	-10.51540203
EOG7133R7	28.44420845	5.454468349	22.9897401	-17.53527175
EOG7133R9	39.74579032	8.784953402	30.96083692	-22.17588352
EOG7133RB	32.61515177	18.46655022	14.14860155	4.317948671
EOG7133RF	37.61752982	13.95775746	23.65977236	-9.702014899
EOG7133RJ	12.87217785	1.964805537	10.90737231	-8.942566774
EOG715ZZ5	14.13122756	3.925914108	10.20531345	-6.279399342
EOG715ZZ6	211.4242319	90.57210527	120.8521266	-30.28002132
EOG715ZZ7	6.423159195	1.01874476	5.404414435	-4.385669675
EOG715ZZ8	38.13909254	28.65036785	9.488724692	19.16164316
EOG715ZZB	46.523732	20.89439875	25.62933325	-4.7349345
EOG715ZZC	24.66956328	4.598692026	20.07087126	-15.47217923
EOG715ZZD	9.742313079	3.855420221	5.886892858	-2.031472637
EOG715ZZF	70.31434846	26.99803608	43.31631237	-16.31827629
EOG715ZZG	25.33091279	7.664703089	17.6662097	-10.00150661
EOG715ZZH	46.54696999	11.54533262	35.00163737	-23.45630475
EOG715ZZJ	49.48126454	16.05248893	33.42877561	-17.37628668
EOG715ZZM	29.50476162	14.60666125	14.89810037	-0.291439119
EOG715ZZP	33.68639443	7.584752899	26.10164153	-18.51688864
EOG715ZZQ	20.31846239	6.348595482	13.9698669	-7.621271421
EOG715ZZR	37.57288645	8.376232598	29.19665386	-20.82042126
EOG715ZZW	25.94097308	8.347064968	17.59390811	-9.246843141
EOG715ZZX	48.27427714	40.43523606	7.83904108	32.59619498
EOG715ZZZ	24.14038102	6.262729061	17.87765196	-11.6149229
EOG716000	50.61490379	17.47836675	33.13653704	-15.65817029
EOG716002	50.38437089	7.732311409	42.65205948	-34.91974807
EOG716003	33.31551953	12.42597857	20.88954096	-8.463562388
EOG716004	37.27953696	14.17605353	23.10348344	-8.927429908
EOG716007	23.06079325	7.074727218	15.98606603	-8.911338811
EOG718V64	10.14083781	3.106290422	7.034547385	-3.928256963
EOG718V65	48.60087782	3.998332152	44.60254567	-40.60421351
EOG718V66	40.8997784	8.0710313	32.8287471	-24.7577158
EOG718V67	61.18061092	7.963368483	53.21724244	-45.25387395
EOG718V68	56.28054341	24.57212327	31.70842014	-7.136296869
EOG718V69	60.92953031	48.92534819	12.00418212	36.92116607
